record_id,company_name,contact_first,contact_last,email,phone,city,state,zip,signup_date,monthly_volume,status
MRC-100643,Summit Landscaping,Karen,Wilson,karen.wilson@summit-example.com,4678091155,Phoenix,AZ,85001,2024-04-24,-854.36,pending
MRC-101972,Ironwood Cleaning,Karen,Miller,karen.miller@ironwood-example.com,(682) 685-3869,Portland,OR,97201,2023-06-15,437.15,churned
MRC-100581,Bluebird Catering,Paul,Rodriguez,paul.rodriguez@bluebird-example.com,9494065168,Denver,CO,80202,2023-08-09,869.11,churned
MRC-100051,Summit Logistics,Daniel,Davis,daniel.davis@summit-example.com,(772) 761-4807,Newark,NJ,7102,2024-06-21,4801.89,active
MRC-100366,Harbor Logistics,Paul,Garcia,,,Phoenix,AZ,85001,2019-02-24,1263.92,active
MRC-100300,Prairie Logistics,Karen,Brown,karen.brown@prairie-example.com,,Denver,CO,80202,2021-02-24,1123.37,CHURNED
MRC-101947,Ironwood Printing,Kevin,Davis,kevin.davis@ironwood-example.com,7945137062,Newark,NJ,7102,2021-12-25,1986.71,churned
MRC-101139,Copper HVAC,Olivia,Thomas,olivia.thomas@copper-example.com,275-663-4287,Spring,tx,,2023-07-18,345.22,active
MRC-100509,Pioneer Auto Repair,Robert,Miller,robert.miller@pioneer-example.com,(244) 888-3616,Phoenix,AZ,85001,2024-11-21,1202.76,Active
MRC-101163,Copper Plumbing,Michael,Hall,michael.hall@copper-example.com,(416) 524-1520,Denver,co,80202,2020-04-16,8448.72,active
MRC-100570,Copper Bakery,Anna,Jones,anna.jones@copper-example.com,530-911-9673,Portland,OR,97201,2020-08-12,2068.05,churned
MRC-100734,Copper Printing,Emma,Taylor,emma.taylor@copper-example.com,5393551844,Phoenix,AZ,85001,2022-07-07,1095.58,active
MRC-100632,Summit Cleaning,Olivia,Wilson,olivia.wilson@summit-example.com,883-745-3153,Portland,OR,97201,2031-05-14,684.09,active
MRC-101441,Granite Catering,Kevin,Martin,kevin.martin@granite-example.com,4835812467,Newark,NJ,07102,2019-08-30,11819.8,churned
MRC-101427,Prairie Catering,Sophia,Williams,sophia.williams@prairie-example.com,,Providence,RI,2903,2020-11-09,559.84,pending
MRC-101138,Granite Logistics,Michael,Williams,michael.williams@granite-example.com,,Houston,TX,77002,2024-11-06,3224.05,pending
MRC-100654,Redstone HVAC,Anna,Lee,anna.lee@redstone-example.com,+1 217 676 3512,Chicago,IL,60601,2019-01-07,304.51,pending
MRC-100988,Summit Printing,Robert,Miller,robert.miller@summit-example.com,(381) 512-5348,Denver,CO,80202,2019-11-07,18188.45,pending
MRC-101284,Willow Logistics,Olivia,Moore,olivia.moore@willow-example.com,(911) 376-4113,Newark,NJ,07102,2019-07-10,3665.61,pending
MRC-101399,Bluebird Roofing,Michael,Moore,michael.moore@bluebird-example.com,(841) 931-4310,Newark,nj,07102,2023-06-28,16068.41,pending
MRC-101880,Pioneer Logistics,Paul,Walker,paul.walker@pioneer-example.com,542-631-1384,Providence,RI,2903,2022-11-20,4268.47,pending
MRC-200014,GRANITE CATERING,DANIEL,Brown,daniel.brown@granite-example.com,6696147089,Houston,TX,77002,2021-11-02,5945.48,PENDING
MRC-100770,Bluebird Roofing,Robert,Davis,,,Denver,CO,80202,2025-08-11,519.45,pending
MRC-101529,Granite Consulting,Mark,Jackson,mark.jackson@granite-example.com,(237) 265-5343,Providence,RI,2903,2025-07-09,772.57,churned
MRC-100235,Prairie Electric,Jason,Martinez,jason.martinez@prairie-example.com,(642) 704-4459,Atlanta,GA,30303,2025-01-15,1257.22,active
